placeName,address,managerUnit,applyUnit,contactor,officePhone,fax,email,register,imageUrl,seg,place
松山文創園區,,臺北市政府文化局/臺北市文化基金會,,,(02)2765-1388轉123,,tcicss@taipeiculture.org,電子郵件申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/34f13b7d-065b-485c-8834-7c151a03e542/00b61c684e58aea79c7c33513fbc27b3.JPG,"['文創', '園區', '松山']",
臺北市立美術館廣場,,臺北市政府文化局/臺北市立美術館,,,02-25957656#531,,,現場/電話申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/74c1554b-b05e-48c6-bfb8-f4f782c6d9c8/783548209a08511dd6b45272824df58f.jpg,"['美術館', '廣場', '市立']",
捷運新北投站,,臺北捷運公司,臺北捷運公司,,02-25505600#4338,,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-02/529a7de1-f416-45a7-8264-77ae4d56633b/7f1f28ad1b366bafc6abe421182e3826.jpg,"['捷運新', '北投']",
捷運北投站,,臺北捷運公司,臺北捷運公司,,02-25505600#4338,,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/f482ff15-6664-4b14-9807-05d24c062069/a9f3fbfc1e258b4494ffe61859b38125.jpg,['北投'],
捷運士林站,,臺北捷運公司,,,02-25505600#4131,,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/7a68525c-585d-4536-9b12-263744cc7121/a6f1cc539e8b1a76c30b0a5ca3655b0c.jpg,['士林'],
捷運中正紀念堂站,,臺北捷運公司,臺北捷運公司,,02-25505600#7148,,,預約登記/傳真,,"['紀念堂', '中正']",
捷運西門站,,臺北捷運公司,臺北捷運公司,,02-25505600#6491,,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-02/ee4893ca-aaba-4c9d-ab6a-da58446175df/64c59acc4a6d6192e65cc43d83d58f30.jpg,['捷運西門'],
捷運東區地下街,,臺北捷運公司,臺北捷運公司,,02-87733329#228,02-27114005 ,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/6c34e9de-b25a-4864-acfb-b71856c3bea3/4cfeccef47c8aa0708be27ad3b3a7d12.jpg,['東區'],
臺北市站前地下街,,臺北市市場處,臺北地下街行政中心,王先生,02-23751567#20,,jason19910729@gmail.com,現場申請(向行政中心登記)或電子郵件申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2020-01-30/36a9a855-048b-4762-824d-b181260cd2e3/151fb9b21d0d53d904ab0dddc22738ce.jpg,['北市'],
港富里737音樂夜市,,台北市內湖區港富里辦公處,,李里長,0932-018939,,,電話預約,,"['港富里', '737', '音樂', '夜市']",
臺北市四平商圈徒步區,,臺北市四平商圈徒步區發展協會,,陳先生,02-25018531 ,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/13b31a88-b0c0-429b-9ce5-7478529a82ea/13f625c97475943606fc9351bee15604.JPG,"['北市', '四平', '商圈', '徒步']",
臺北市立動物園,,臺北市立動物園,臺北市立動物園,郭先生,(02)2938-2300轉612,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/d1da12b2-d987-40f7-8b05-18682085fd4e/6e61bef4a1acceb54983cb987af2b053.jpg,"['動物園', '市立']",
艋舺商旅(原班客飯店),,艋舺國際商旅,,,02-23381211,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/474b431e-8964-40e1-8730-cc9d95d0d458/2f26a4988355d704b82b4584441cf868.jpg,"['原班', '客飯', '商旅']",
捷運劍南路站,,臺北捷運公司,臺北捷運公司,,02-27828660#6602,,,預約登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/22c78277-040a-4749-9f1a-40aa1eb9b8ea/31dd944b1029834ccab75037a7ee8180.jpg,"['捷運劍', '南路']",
捷運圓山站,,臺北捷運公司,臺北捷運公司,,02-25505600#4131,,,預約登記（受理申請時間為8:00~17:00）,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/1a9deab3-ed85-40ba-bb9a-fbbd64155222/ed47512db7b27d115af4c38cd43ae080.jpg,['捷運圓山'],
捷運中山站,,臺北捷運公司,臺北捷運公司,,02-25505600#3635,,,預約登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2020-01-13/d1821314-a44a-47c1-ad21-a5a408d6d9b6/97fe10d052885dda1cb2003a01e66584.PNG,['中山站'],
捷運大安森林公園站,,臺北捷運公司,臺北捷運公司,,02-25505600 分機7148,,,預約登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/638dbd4e-df27-4219-bfe7-4b2c695a1582/a6a45b2d076791e555c097964839d7a1.jpg,"['公園', '大安', '森林']",
美麗華百樂園,,美麗華城市發展股份有限公司,,吳小姐,02-2175-3456 分機5213,,hsinju576@miramar.com.tw,電子郵件,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-04/ff1bec35-4e7c-48c9-8c3a-ac3b0e6e342e/f684650f23133552b5ff0986258fea1c.jpg,['美麗華百樂園'],
迪化污水處理廠附設休閒運動公園,,臺北市政府工務局衛生下水道工程處,迪化污水處理廠/內湖污水處理廠,,02-25973183#871/02-87919494#123,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/c52d2b84-80bc-4d4b-b109-cab22c4c39c0/b95396e5863d712907e5b0a78b56c8a4.png,"['處理廠', '附設', '休閒', '運動', '公園', '迪化', '污水']",
臺北市青少年發展處,,臺北市政府教育局,,李小姐,(02)2351-4078轉1112,,,線上預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2020-03-17/4377f48e-4152-483e-b059-e5ffc33524a6/280dd60ae1e80066882e8f3bd0c53bb2.JPG,"['北市', '發展', '青少年']",
臺北市天文科學教育館,,臺北市立天文科學教育館,,胡先生,(02)28314551轉508,,,書面申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/23e4c650-a23f-40f9-8a0b-494618eab9f3/6bab978a42baa06d8f77656258f0e08c.jpg,"['北市', '文科', '教育']",
天母運動公園音樂台,,臺北市政府體育局,,鄭小姐,(02)25702330轉6546,,,書面申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/972f8c8f-b3db-4d21-859b-fcda5eca7b69/d2ca142564b8ac129ccd8e29762398e7.jpg,"['天母', '運動', '公園', '音樂台']",
自來水園區內各展演場地,,臺北自來水事業處,自來水園區管理中心,,02-83695091,,,現場申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/e9b54421-9c46-4663-958c-6538e0b0d3ad/bbf2ac3e4d5a55733df411fb34c88d43.jpg,"['展演', '自來', '水園區', '場地']",
公民會館,,臺北市信義區公所,信義區公所民政課,,02-27239777#855,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/836a4d0b-bcbf-453a-8577-4b90f2b90f53/fe80172d1d69e282d3bc8aa278b4babb.png,"['會館', '公民']",
士林市場藝文空間,,臺北市市場處,,士林市場地下1樓中控室,02-28837901,,,現場申請,,"['市場', '藝文空間', '士林']",
臺北市臺北地下街,,臺北市市場處,臺北地下街行政中心,,02-25594566#506,,,現場申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/aa992732-b49c-4e97-aca9-1a20fbee79d0/e69e67abc5b73e05152416ad2caa9348.jpg,['北市'],
臺北市兒童新樂園,,臺北捷運公司,,兒童新樂園遊客服務中心,02-28333823#106,,,預約登記(申請單),http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/9dc161cd-fb1d-475c-8d21-8f9e1ab6e38f/afa6d9d06e29af2473ccf20878637b73.png,"['北市', '兒童', '新樂園']",
草山國際藝術村,,臺北市政府文化局,草山行館,,02-28622404,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/70593b7b-f7f0-47ad-a32b-85b345833fd4/6554b0addb2105cf7e204dfbb33fbdaa.jpg,"['國際', '藝術村', '草山']",
錢穆故居戶外庭園、人文茶坊,,臺北市政府文化局,臺北市政府文化局,鄭小姐或廖先生,02-28805809,,chienmu.house@msa.hinet.net,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/e0c25349-76e9-4733-bf37-721d02df1b38/1db620b222912a31724296eb5c02bc1b.jpg,"['錢穆', '外庭園', '茶坊', '故居', '人文']",
臺北當代藝術館,,臺北市政府文化局,臺北當代藝術館,謝先生,02-25523721#212,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/932f76da-170a-4b08-9eef-163f460c72de/bf03812f6d367afb040bf1959cf2fc84.jpg,"['北當代', '藝術館']",
臺北當代工藝設計分館,,國立臺灣工藝研究發展中心,,余小姐,02-23887066#120,,,電話預約/書面申請,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/7f104198-68c6-4561-a566-3d1b89c0542f/a322eab15456a5e9a9ed63b6d0836fb8.jpg,"['北當', '藝設', '計分館', '代工']",
大湖公園（內湖區）,,臺北市政府公園路燈工程管理處,花卉試驗中心,,02-26586601,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/5d7a1d7e-c2d9-4202-9b1c-fcfc9fc8c7fe/fc315172d3ff09f1366c80011d31d6ef.jpg,"['公園', '湖區', '大湖']",
碧湖公園,,臺北市政府工務局公園路燈工程管理處,花卉試驗中心,,02-26586601,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/f560b350-b906-4670-a064-9c54d0207dd0/f82e732e9bd70cbafd26a94b04a3a5ab.png,"['碧湖', '公園']",
北投公園,,臺北市政府工務局公園路燈工程管理處,陽明山公園管理所,,02-28832130,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/553b6197-6625-4845-9549-f4a47c08126d/a6ee87809e7a002233211770b52a313f.jpg,"['公園', '北投']",
大安森林公園,,臺北市政府工務局公園路燈工程管理處,青年公園管理所,,02-27003830,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/962b0416-4d90-467c-aceb-8bb7d4c3c2b5/44e238d81211b249c85a5e0f2e5e4067.jpg,"['公園', '大安', '森林']",
大佳河濱公園,,臺北市政府工務局水利工程處,河川管理科,河川管理科,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/ac0f0a00-ac06-4411-8ffc-e8f5b45ef194/696e0570e274577e8f1db73eaafebcc4.jpg,"['大佳', '河濱', '公園']",
古亭河濱公園,,臺北市政府工務局水利工程處,河川管理科,蔡小姐,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/d39fe7c4-39b3-4115-8e30-3b3e658524f5/84fc3e715a10e49ad4723dd0d808a13b.jpg,"['古亭', '河濱', '公園']",
成美右岸河濱公園,,臺北市政府工務局水利工程處,河川管理科,,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/926cefcd-2196-41d9-a41c-5d1f3949f3d4/fefd81bc8a7183b55c3b2ada3e996f60.jpg,"['成美', '河濱', '公園', '右岸']",
成美左岸河濱公園,,臺北市政府工務局水利工程處,河川管理科,,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/2364990d-e7ac-4a18-9cd3-639b740e4c3e/7f1701c75570effcf75977330db90b25.jpg,"['成美', '河濱', '公園', '左岸']",
美堤河濱公園,,臺北市政府工務局水利工程處,河川管理科,,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-17/610b0ee7-7433-4f1f-80bf-1431fe6cdfb4/03c97e24ecbe2c023f92f0a30ecd6e09.jpg,"['美堤', '河濱', '公園']",
關渡河濱公園,,臺北市政府工務局水利工程處,河川管理科,,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/61fd8d57-7046-410c-a02a-3cb249c721d9/426fe5bc844f2def074b42159fc1b00e.jpg,"['濱公園', '渡河']",
艋舺公園,,臺北市政府公園路燈工程管理處,青年公園管理所,,(02)2302-6256,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/13526fdb-255a-4273-a47a-71abbd54628a/2858378421ccaf8998921cdfa345b810.jpg,['公園'],
大同區23號廣場(永樂廣場),,臺北市政府公園路燈工程管理處,臺北市政府公園路燈工程管理處,園藝工程隊西區分隊,02-23071429,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/c7bd65d4-0847-4f06-8de1-b52f367c8136/30413a8ed6a29d89b9d8d81b681061a7.jpg,"['23', '號廣場', '永樂', '廣場', '大同']",
士林官邸公園（大型花展期間）,,臺北市政府公園路燈工程管理處,園藝管理所,,02-28812512轉19園藝管理所辦公室          02-28813013公園駐警隊,,,電話預約/現場登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-21/d1e42faa-7039-4ac9-878a-cf6d75eb137f/c3b882f230ee11505cb8dcb0b62166b0.jpg,"['公園', '展期', '官邸', '士林', '大型']",
二二八和平公園(台灣博物館),,臺北市政府工務局公園路燈工程管理處,青年公園管理所,,02-23032451,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-03-16/9c6639e5-d7bb-4be7-a9d6-bef0ea4fde54/661b737669bd441e964d43c71dc6c518.jpg,"['公園', '台灣', '二二八', '博物', '和平']",
台北101廣場,,台北金融大樓股份有限公司,商場行銷部,何小姐,02-8101-8913,,yuwei.ho@tfc101.com.tw,電子信箱報名,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-07-21/5689fbee-d4c0-4cf2-8c3d-d93aff5c3779/ab778abbbf0a54de4a489b301f31932d.jpg,"['101', '廣場', '台北']",
大潤發內湖二店,,大潤發流通事業股份有限公司,,黃小姐 ,,(02)2796-8882 ,rtmga05@gmail.com,電子郵件,http://busker.culture.tw/c_upload_busker/performer/place/image/2017-08-18/876d6e95-00a3-4635-b7b7-58aa74dfa916/7066494e1ae030926b6c9591c40d29bb.jpg,"['大潤', '發內', '湖二店']",
三創生活園區一樓廣場,,三創數位股份有限公司,,行銷部鄭小姐,(02)7736-6600 #66897,,wendy.fl.cheng@syntrend.com.tw,電子郵件,http://busker.culture.tw/c_upload_busker/performer/place/image/2018-04-17/c0a62009-8bfa-4857-8496-a26c08d93cfc/c7819d6215c9010ab1ef65464b3e21fd.jpg,"['三創', '園區', '一樓', '廣場', '生活']",
馬場町紀念公園,,臺北市政府工務局水利工程處,河川管理科,,02-27208889#3277,,,網站登記抽選,http://busker.culture.tw/c_upload_busker/performer/place/image/2018-11-20/76b52764-4951-4dd0-a58b-11ecc44be736/a59f5524187b87c11a292a6849c11e2e.jpg,"['場町紀念', '公園']",
東區龍門廣場,,臺北捷運公司,臺北捷運公司,,02-87733329#228,2711-4005 ,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2019-05-15/8c650dd4-b934-479d-9ddc-f60a142f87b8/93545c5f6ca8dc4d9c09b754fc836965.jpg,"['東區', '龍門', '廣場']",
東區頂好廣場,,臺北捷運公司,臺北捷運公司,,(02)8773-3329#204,(02)2711-4005,,預約登記/傳真,http://busker.culture.tw/c_upload_busker/performer/place/image/2019-05-27/dd89355a-15bb-468d-bf31-1fb80451b599/9f3193028d30af855ee90c78bde0bff5.jpg,"['東區', '廣場']",
榮星花園公園,,臺北市政府工務局公園路燈工程管理處,圓山公園管理所,吳小姐,02-25850192*215,,,電話預約,http://busker.culture.tw/c_upload_busker/performer/place/image/2019-07-18/ef70d1fd-5df8-4f86-a918-4de4913497bc/9244067cdd90ae60bd15fe77bfd4f351.jpg,"['榮星', '花園', '公園']",
微風廣場 Breeze Center,,微風廣場實業股份有限公司,微風廣場 創意行銷部,陳先生,02-66008888#5236,,chris_chen@breeze.com.tw,e-mail回傳,http://busker.culture.tw/c_upload_busker/performer/place/image/2019-09-20/eab324d1-db18-469a-97b3-6f606b4068ee/b3946ad4cb8eb00fe41517f5868067ff.jpg,"['微風', '廣場', 'Breeze', 'Center']",
南門中繼市場,,臺北市市場處,臺北市市場處,市場處 公有零售市場科－南門市場管理員 ,（02）2550-5220  #2106、2107 ,,cwrmkt@gmail.com,e-mail回傳,http://busker.culture.tw/c_upload_busker/performer/place/image/2019-10-09/444f6356-87cd-444e-ab23-079cf75767af/4a5053af1cb13038445f6337b5f19d03.jpg,"['南門', '繼市場']",
捷運雙連站,,臺北捷運公司,臺北捷運公司,淡南段辦公室(位於台北車站),02-2550-5600 分機 4131,,,預約登記,http://busker.culture.tw/c_upload_busker/performer/place/image/2020-01-13/5f6e4cda-c86d-4cee-85a9-3975173bf38f/38bfe724ad88487ba4137df25dd8d406.PNG,['雙連站'],
斗六籽公園,,本府教育處社教科,國立虎尾科技大學,張先生,05-5345951,,,■戶外  三~日 10:00~12:00；14:00~18:00 (館舍公休日不受理場地借用事宜。),http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/98520738-667f-4151-94a6-8865acb685c0/3f8ce8120f361980a452523316808f61.jpg,"['斗六', '籽公園']",
官邸兒童館,,雲林縣政府教育處社教科,國立虎尾科技大學,張家偉先生,055345951,,,■戶外  三~日 10:00~12:00；14:00~18:00 (館舍公休日不受理場地借用事宜。),http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/e5f7af2c-96e0-4a8c-90a4-b9684e047503/eb3d3e990ab6a042829f1829751b0516.jpg,"['兒童館', '官邸']",
斗六棒球場週邊,,體育場總務組,體育場總務組,傅宣碩先生,05-534-5119#216,,,■戶外  08:00~21:00,http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F264/caac8c2e-e98b-445c-b623-7682f46311ed.JPG,"['斗六', '場週邊', '棒球']",
斗六繪本館,,斗六市公所,斗六市公所,沈秀茹小姐,05-5321992,,,■戶外 六日10:00~17:00(中午休息兩小時) 每周一休館 免費,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-11/d5fd5131-7867-4f1a-b130-002dca0851d2/6013d9677abafbe5ccd51c091fa7d884.jpg,"['斗六', '繪本館']",
雲中街文創聚落,,雲中街生活聚落,雲中街生活聚落,,05-53365021,,yunzhong.street@gmail.com,■戶外   六日10:00~17:00(建議可搭配市集) 一小時500元。 FB:雲中街生活聚落遇表演前兩個月就詢問。,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/0f65b202-f54e-431e-a564-a62fd7b26176/c890b096752ed2b7e002b426b18d43ae.jpg,"['文創', '中街', '聚落']",
虎尾布袋戲館,,雲林縣政府文化觀光處展覽科,木藝堂藝品生活館,林佩如,05-6313080、05-636-4826,,,■戶外  1. 平日：星期一到五，10:00-18:00 2. 假日：星期六、日，10:00-13:00，15:00-17:00 3. 國定假日：依館舍公告為主 1. 廣場：免費，若需用電，電費另計。 2. 草皮：免費，若需用電，電費另計。,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/0b027f52-d35a-42c6-8eba-65a3a02c911e/40ac530629e928a897975ea35962424c.png,"['戲館', '虎尾', '布袋']",
同心公園,,台糖股份有限公司雲林區處總務課,台糖股份有限公司雲林區處總務課,,05-6321540＃252,,,■戶外   08:00~17:00 免費,http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F268/67abb5f9-49f3-48e6-bee0-ee372df59ac6.JPG,"['公園', '同心']",
虎尾驛,,虎尾驛,虎尾驛,吳麗春小姐,05-6335893、0982-333369,,,時段：12：00至18：00 。每週一休館,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-11/9ee574a7-a5c3-434d-a064-3ea5ce8b86ee/876432da35969de15bdd5d8061af8195.jpg,['虎尾'],
北港冰品部,,北港資產課,北港資產課,孫嘉瑩課長,05-7827650#201,,,■戶外   09:00~17:00 免費,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/2843d730-61d3-4315-9a19-4c01342fc7d1/dce551fa37f7c62cd79f495a71eafc25.jpg,"['冰品', '北港']",
北港女兒橋,,雲林縣政府城鄉發展處,雲林縣政府城鄉發展處,許文林,05-5522803,,,1、時段：09：00至20：00。2、演出時不妨礙通行為原則。3、不供應水電及其他資源，只提供場地使用，使用完畢後請恢復原狀。4、該區風大且位於高處，活動時須注意安全。,http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F273/7215cc31-9093-4819-9fcb-cb5137cbde73.JPG,"['女兒橋', '北港']",
丸莊醬油博物館,,丸莊醬油博物館,丸莊醬油博物館,陳耿佑,05-5863666,,,■戶外 (騎樓下)  08:00~17:00 免費,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/5b87de42-e027-4aa7-9bb8-6430eab56ba0/305303c9fa7218afe4f7300c0a55aabf.jpg,"['莊醬', '博物']",
西螺大橋廣場,,西螺鎮公所公園路燈管理所,西螺鎮公所公園路燈管理所,竇婉君,05-5863203#907,,,■戶外   09:00~22:00 免費,http://busker.culture.tw/c_upload_busker/performer/place/image/2016-07-11/6ecd46c5-662a-45b5-9738-157de5d0b39c/becaddee5d52c03145e7c4261a1da6ed.jpg,"['西螺', '大橋', '廣場']",
西螺東市場,,西螺鎮公所農經課,西螺鎮公所農經課,王瓊慎,05-5863203#706,,,■戶外   08:00~18:00 免費,http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F276/0921e2c7-7b8b-4929-a919-1f5efe127325.JPG,"['西螺', '東市場']",
延平老街文化館,,螺陽文教基金會,螺陽文教基金會,何美慧 館長,05-5860101,,louyoung1995@gmail.com,■戶外(騎樓下)  (六、日) 09:00~17:00 (收費未定),http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F277/299c7247-cf78-4495-86d2-02b7c08a8082.JPG,"['延平', '老街', '文化']",
綠色隧道,,古坑鄉公所,古坑鄉公所 公園路燈管理所,戴川清,05-5826320#150,,,■戶外   非例假日不開放 09:30~17:00 (目前暫時尚未收費,http://busker.culture.tw/h_upload_ccacloud/performer/place/pic/A0/B0/C0/D0/E1/F279/763b0ff8-b2de-4347-a1f3-81c0c8bb4b24.jpg,"['綠色', '隧道']",
石頭公園,,石頭公園,石頭公園,王先生,05-5827133,,,■戶外  週六日 09:30~17:30,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/3200d829-38d3-4aca-9081-200de0585601/b6ae5eeb5adb35db526494f999e8b3df.jpg,"['石頭', '公園']",
華山遊憩區華山遊客中心,,華山社區發展協會,華山社區發展協會,許毓涵小姐,05-5900488,,gaz76041662@gmail.com,■戶外  假日 08:00~17:00 平日 13:00~17:00,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/d7b60cd9-883f-4283-ae23-728701e7a8aa/8d9f6f9f13741aba85a36e4155b00658.jpg,"['華山遊', '憩區', '華山', '遊客', '中心']",
桐花公園(原荷苞香藥草園區) ,,古坑鄉公所,古坑鄉公所公園路燈管理所,戴川清,05-582-6320#150,,,■戶外   非例假日不開放 09:30~17:00 (目前暫時尚未收費,http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/f5cb115c-ba3d-4402-a47d-8561b57a0cab/f2e37c2f87b8fb16b785704ec9a7321f.jpg,"['桐花', '公園', '原荷', '香藥', '草園區']",
參天宮前廣場,,參天宮管理委員會,參天宮管理委員會,總務:吳明志,05-787-2052,,,■戶外   每周六 08:00~22:00 每周日 08:00~18:00 (未定收費),http://busker.culture.tw/c_upload_busker/performer/place/image/2021-10-19/b0008250-fcf1-42db-b367-f8ea7e48698f/9ec2cdc7dcb52cbe33cc92291bc99a22.jpg,"['參天', '宮前', '廣場']",
